1,131.200,160.700,155.070,
2,196.740,269.950,256.430,
3,368.270,479.370,429.700,
4,691.670,890.290,800.070,
5,1185.040,1457.400,1274.790,
6,2029.390,2399.020,2101.490,
7,2969.120,3459.850,2989.680,
8,4308.480,4807.350,4198.350,
9,5992.060,6649.870,5716.530,
10,8142.750,8756.130,7548.770,
11,10684.820,11456.950,9846.470,
12,13791.540,14367.550,12382.840,
13,17401.430,18169.560,15630.420,
14,21641.010,22128.970,18966.630,
15,26539.700,27199.770,23343.650,
16,32025.090,32223.560,27663.840,
